asset_id,display_name,qa_status,source_url,source_role,source_page_url
call_of_duty.character_or_operator.alex_keller.9268ea5c,Alex Keller,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/0/0d/Alex_Keller_Infobox_MWIII.png/revision/latest/smart/width/40/height/30?cb=20240112154753,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.alexia_alice_valenzuela.d392e21d,"Alexia ""Alice"" Valenzuela",needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/3/36/Alice_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163515,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.anna_drake.2ea00a84,Anna Drake,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/6/6c/Anna_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223135855,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.arthur_kingsley.f86d40bd,Arthur Kingsley,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/0/02/Arthur_Kingsley_Captured_CODV.jpg/revision/latest/smart/width/40/height/30?cb=20220818034220,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.azur_el.f8c0850b,Azur El,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/9/95/Azur_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163337,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.beatrice_mercier.77ddc329,Beatrice Mercier,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/a/a8/Beatrice_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223141334,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.benito_fuze_ortega.59bb254e,"Benito ""Fuze"" Ortega",needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/b/be/Fuze_Operator_Default_BOCW.png/revision/latest/smart/width/40/height/30?cb=20240223121533,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.benjamin_otter_lee.721489aa,"Benjamin ""Otter"" Lee",needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/7/74/Otter_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163757,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.callum_hendry.c9903fbb,Callum Hendry,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/c/c9/Callum_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223141112,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.carver_butcher.0f970cca,Carver Butcher,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/5/5c/Carver_Butcher_1984_Profile.png/revision/latest/smart/width/40/height/30?cb=20211214123255,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.charlotte_charly_johnstone.7147d75d,"Charlotte ""Charly"" Johnstone",needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/0/0d/Charly_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163829,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.colton_stryker_greenfield.3fcca46a,"Colton ""Stryker"" Greenfield",needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/9/90/Stryker_Operator_Default_BOCW.png/revision/latest/smart/width/40/height/30?cb=20240223121701,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.competitor.c38767bb,Competitor,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/9/92/Competitor_NATO_Infobox_BOCW.png/revision/latest/smart/width/40/height/30?cb=20241117052345,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.constanze_muller.b94047cb,Constanze Muller,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/c/ca/Constanze_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223141405,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.damian_raines.c5a1baed,Damian Raines,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/0/04/Raines_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163500,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.daniel_ronin_shinoda.0ae853d5,"Daniel ""Ronin"" Shinoda",needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/b/ba/Ronin_Operator_Default_MWII.png/revision/latest/smart/width/40/height/30?cb=20240512090400,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
call_of_duty.character_or_operator.daniel_yatsu.132e91b3,Daniel Yatsu,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/4/4d/Daniel_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223141219,operators,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators
