asset_id,display_name,qa_status,source_url
call_of_duty.event_badge_or_medal.call_of_duty_wiki.a2373821,Call of Duty Wiki,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/e/e6/Site-logo.png/revision/latest?cb=20231103090518
call_of_duty.event_badge_or_medal.the_subject_of_this_article_appears_in_call_of_duty.20445c20,The subject of this article appears in Call of Duty,needs_manual_crop,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"
call_of_duty.event_badge_or_medal.the_subject_of_this_article_appears_in_call_of_duty.20445c20,The subject of this article appears in Call of Duty,needs_manual_crop,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"
call_of_duty.event_badge_or_medal.the_subject_of_this_article_appears_in_call_of_duty.20445c20,The subject of this article appears in Call of Duty,needs_manual_crop,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"
call_of_duty.event_badge_or_medal.the_subject_of_this_article_appears_in_call_of_duty.20445c20,The subject of this article appears in Call of Duty,needs_manual_crop,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"
call_of_duty.event_badge_or_medal.the_subject_of_this_article_exists_in_or_is_relevant_to_the_real_world.20445c20,The subject of this article exists in or is relevant to the real world.,needs_manual_crop,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"
call_of_duty.event_badge_or_medal.our_men_trophy_icon_wwii.20445c20,Our Men trophy icon WWII,needs_manual_crop,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"
call_of_duty.event_badge_or_medal.warzone_artwork_codwarzone_mw.2af61850,Warzone Artwork CoDWarzone MW,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/3/3d/Warzone_Artwork_CoDWarzone_MW.jpg/revision/latest/scale-to-width-down/268?cb=20200331223136
call_of_duty.event_badge_or_medal.atv_icon_mw.20445c20,ATV Icon MW,needs_manual_crop,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"
call_of_duty.event_badge_or_medal.suv_icon_mw.20445c20,SUV Icon MW,needs_manual_crop,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"
call_of_duty.event_badge_or_medal.heli_icon_mw.20445c20,Heli Icon MW,needs_manual_crop,"data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"
