asset_family,asset_id,display_name,draft_local_path,entity_id,game_id,license_note,mask_path,match_method,packet_id,qa_status,roi_ref,scale_set,seed_category,seed_family,source_page_url,source_role,source_title,source_url,template_path,temporal_window,threshold
medal_icon,call_of_duty.event_badge_or_medal.double_kill.packet0001,Double Kill,,call_of_duty.double_kill,call_of_duty,internal_review_required,,TM_CCORR_NORMED,2026-05-26-call-of-duty-medal-packet,verified_source,hud.event_badge,"[0.9, 1.0, 1.1]",multikill,BO3,https://callofduty.fandom.com/wiki/File:Double_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),https://static.wikia.nocookie.net/callofduty/images/b/b6/Double_Kill_Medal_BO3.png/revision/latest?cb=20160322125522,,3,0.93
medal_icon,call_of_duty.event_badge_or_medal.triple_kill.packet0002,Triple Kill,,call_of_duty.triple_kill,call_of_duty,internal_review_required,,TM_CCORR_NORMED,2026-05-26-call-of-duty-medal-packet,verified_source,hud.event_badge,"[0.9, 1.0, 1.1]",multikill,BO3,https://callofduty.fandom.com/wiki/File:Triple_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),https://static.wikia.nocookie.net/callofduty/images/7/7b/Triple_Kill_Medal_BO3.png/revision/latest?cb=20160322125533,,3,0.93
medal_icon,call_of_duty.event_badge_or_medal.fury_kill.packet0003,Fury Kill,,call_of_duty.fury_kill,call_of_duty,internal_review_required,,TM_CCORR_NORMED,2026-05-26-call-of-duty-medal-packet,verified_source,hud.event_badge,"[0.9, 1.0, 1.1]",multikill,BO3,https://callofduty.fandom.com/wiki/File:Fury_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),https://static.wikia.nocookie.net/callofduty/images/7/7d/Fury_Kill_Medal_BO3.png/revision/latest?cb=20160322125539,,3,0.93
medal_icon,call_of_duty.event_badge_or_medal.frenzy_kill.packet0004,Frenzy Kill,,call_of_duty.frenzy_kill,call_of_duty,internal_review_required,,TM_CCORR_NORMED,2026-05-26-call-of-duty-medal-packet,verified_source,hud.event_badge,"[0.9, 1.0, 1.1]",multikill,BO3,https://callofduty.fandom.com/wiki/File:Frenzy_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),https://static.wikia.nocookie.net/callofduty/images/3/31/Frenzy_Kill_Medal_BO3.png/revision/latest?cb=20160322125545,,3,0.93
medal_icon,call_of_duty.event_badge_or_medal.mega_kill.packet0005,Mega Kill,,call_of_duty.mega_kill,call_of_duty,internal_review_required,,TM_CCORR_NORMED,2026-05-26-call-of-duty-medal-packet,verified_source,hud.event_badge,"[0.9, 1.0, 1.1]",multikill,BO3,https://callofduty.fandom.com/wiki/File:Mega_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),https://static.wikia.nocookie.net/callofduty/images/c/c8/Mega_Kill_Medal_BO3.png/revision/latest?cb=20160322125528,,3,0.93
medal_icon,call_of_duty.event_badge_or_medal.ultra_kill.packet0006,Ultra Kill,,call_of_duty.ultra_kill,call_of_duty,internal_review_required,,TM_CCORR_NORMED,2026-05-26-call-of-duty-medal-packet,verified_source,hud.event_badge,"[0.9, 1.0, 1.1]",multikill,BO3,https://callofduty.fandom.com/wiki/File:Ultra_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),https://static.wikia.nocookie.net/callofduty/images/8/8c/Ultra_Kill_Medal_BO3.png/revision/latest?cb=20160322145105,,3,0.93
medal_icon,call_of_duty.event_badge_or_medal.kill_chain.packet0007,Kill Chain,,call_of_duty.kill_chain,call_of_duty,internal_review_required,,TM_CCORR_NORMED,2026-05-26-call-of-duty-medal-packet,verified_source,hud.event_badge,"[0.9, 1.0, 1.1]",multikill,BO3,https://callofduty.fandom.com/wiki/File:Kill_Chain_Medal_BO3.png,events,Call of Duty medal seed (BO3),https://static.wikia.nocookie.net/callofduty/images/7/71/Kill_Chain_Medal_BO3.png/revision/latest?cb=20160322145114,,3,0.93
medal_icon,call_of_duty.event_badge_or_medal.bloodthirsty.packet0008,Bloodthirsty,,call_of_duty.bloodthirsty,call_of_duty,internal_review_required,,TM_CCORR_NORMED,2026-05-26-call-of-duty-medal-packet,verified_source,hud.event_badge,"[0.9, 1.0, 1.1]",elimination_streak,BOCW,https://callofduty.fandom.com/wiki/File:Bloodthirsty_Medal_BOCW.png,events,Call of Duty medal seed (BOCW),https://static.wikia.nocookie.net/callofduty/images/a/a4/Bloodthirsty_Medal_BOCW.png/revision/latest?cb=20210407103938,,3,0.93
medal_icon,call_of_duty.event_badge_or_medal.merciless.packet0009,Merciless,,call_of_duty.merciless,call_of_duty,internal_review_required,,TM_CCORR_NORMED,2026-05-26-call-of-duty-medal-packet,verified_source,hud.event_badge,"[0.9, 1.0, 1.1]",elimination_streak,BOCW,https://callofduty.fandom.com/wiki/File:Merciless_Medal_BOCW.png,events,Call of Duty medal seed (BOCW),https://static.wikia.nocookie.net/callofduty/images/9/93/Merciless_Medal_BOCW.png/revision/latest?cb=20210407104013,,3,0.93
medal_icon,call_of_duty.event_badge_or_medal.ruthless.packet0010,Ruthless,,call_of_duty.ruthless,call_of_duty,internal_review_required,,TM_CCORR_NORMED,2026-05-26-call-of-duty-medal-packet,verified_source,hud.event_badge,"[0.9, 1.0, 1.1]",elimination_streak,BOCW,https://callofduty.fandom.com/wiki/File:Ruthless_Medal_BOCW.png,events,Call of Duty medal seed (BOCW),https://static.wikia.nocookie.net/callofduty/images/d/d1/Ruthless_Medal_BOCW.png/revision/latest?cb=20210407104030,,3,0.93
