asset_family,binding_id,binding_reasons,binding_score,candidate_display_name,candidate_id,candidate_quality,confidence,derived_row_review_decision,derived_row_review_status,derived_row_reviewed_at,detection_id,game_id,image_kind_mismatch,lower_trust_source_kind,name_match_quality,quality_score,reason,review_notes,source_kind,source_url,status,target_display_name,target_id,target_kind,weak_name_match
hero_portrait,binding_daa295e75d02,"[""exact normalized or alias match"", ""high-quality candidate"", ""category member source"", ""portrait-like image kind""]",0.92,Alex Keller,candidate_9476d5099063,high,0.92,accept_candidate,approved,2026-05-05T22:38:11.684912+00:00,call_of_duty.alex_keller.hero_portrait,call_of_duty,False,False,exact,0.8,exact normalized or alias match; high-quality candidate; category member source; portrait-like image kind,auto-applied recommended candidate,category_member_image,https://static.wikia.nocookie.net/callofduty/images/0/0d/Alex_Keller_Infobox_MWIII.png/revision/latest/smart/width/40/height/30?cb=20240112154753,accepted,Alex Keller,alex_keller,hero,False
hero_portrait,binding_b88b546dd72f,"[""exact normalized or alias match"", ""high-quality candidate"", ""category member source"", ""portrait-like image kind""]",0.92,Alex Mason,candidate_ca52f1d3aa03,high,0.92,accept_candidate,approved,2026-05-05T22:38:11.686502+00:00,call_of_duty.alex_mason.hero_portrait,call_of_duty,False,False,exact,0.8,exact normalized or alias match; high-quality candidate; category member source; portrait-like image kind,auto-applied recommended candidate,category_member_image,https://static.wikia.nocookie.net/callofduty/images/c/c0/Alex_Mason_Infobox_1986_BOII.png/revision/latest/smart/width/40/height/30?cb=20231213181030,accepted,Alex Mason,alex_mason,hero,False
hero_portrait,binding_4eb66a8427ff,"[""exact normalized or alias match"", ""high-quality candidate"", ""category member source"", ""portrait-like image kind""]",0.92,"Alexia ""Alice"" Valenzuela",candidate_e372fbbb3dcd,high,0.92,accept_candidate,approved,2026-05-05T22:38:11.687086+00:00,call_of_duty.alexia_alice_valenzuela.hero_portrait,call_of_duty,False,False,exact,0.8,exact normalized or alias match; high-quality candidate; category member source; portrait-like image kind,auto-applied recommended candidate,category_member_image,https://static.wikia.nocookie.net/callofduty/images/3/36/Alice_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163515,accepted,"Alexia \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""Alice\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"" Valenzuela",alexia_alice_valenzuela,hero,False
hero_portrait,binding_cfe5507dab5a,"[""exact normalized or alias match"", ""high-quality candidate"", ""category member source"", ""portrait-like image kind""]",0.92,Anna Drake,candidate_1e2da0f54fe9,high,0.92,accept_candidate,approved,2026-05-05T22:38:11.687308+00:00,call_of_duty.anna_drake.hero_portrait,call_of_duty,False,False,exact,0.8,exact normalized or alias match; high-quality candidate; category member source; portrait-like image kind,auto-applied recommended candidate,category_member_image,https://static.wikia.nocookie.net/callofduty/images/6/6c/Anna_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223135855,accepted,Anna Drake,anna_drake,hero,False
equipment_icon,binding_e7851eb5b385,"[""exact normalized or alias match"", ""high-quality candidate"", ""category member source"", ""icon-like image kind""]",0.92,Armor Plates,candidate_685a3143ae9e,high,0.92,accept_candidate,approved,2026-05-05T22:38:11.687531+00:00,call_of_duty.armor_plates.equipment_icon,call_of_duty,False,False,exact,0.8,exact normalized or alias match; high-quality candidate; category member source; icon-like image kind,auto-applied recommended candidate,category_member_image,https://static.wikia.nocookie.net/callofduty/images/1/13/Armor_Scorestreak_BOCW.png/revision/latest/smart/width/40/height/30?cb=20260407113817,accepted,Armor Plates,armor_plates,equipment,False
equipment_icon,binding_da099b33eb7a,"[""exact normalized or alias match"", ""high-quality candidate"", ""category member source"", ""icon-like image kind""]",0.92,Armor Satchel,candidate_a210bbfb50ae,high,0.92,accept_candidate,approved,2026-05-05T22:38:11.687720+00:00,call_of_duty.armor_satchel.equipment_icon,call_of_duty,False,False,exact,0.8,exact normalized or alias match; high-quality candidate; category member source; icon-like image kind,auto-applied recommended candidate,category_member_image,https://static.wikia.nocookie.net/callofduty/images/4/44/Armor_Satchel_Icon_WZ.png/revision/latest/smart/width/40/height/30?cb=20250610040841,accepted,Armor Satchel,armor_satchel,equipment,False
hero_portrait,binding_ed25deda6950,"[""exact normalized or alias match"", ""high-quality candidate"", ""category member source"", ""portrait-like image kind""]",0.92,Arthur Kingsley,candidate_975a65531281,high,0.92,accept_candidate,approved,2026-05-05T22:38:11.688420+00:00,call_of_duty.arthur_kingsley.hero_portrait,call_of_duty,False,False,exact,0.8,exact normalized or alias match; high-quality candidate; category member source; portrait-like image kind,auto-applied recommended candidate,category_member_image,https://static.wikia.nocookie.net/callofduty/images/0/02/Arthur_Kingsley_Captured_CODV.jpg/revision/latest/smart/width/40/height/30?cb=20220818034220,accepted,Arthur Kingsley,arthur_kingsley,hero,False
equipment_icon,binding_faeeadcf3e54,"[""exact normalized or alias match"", ""high-quality candidate"", ""category member source"", ""icon-like image kind""]",0.92,Artillery Marker,candidate_1efaa23aefa1,high,0.92,accept_candidate,approved,2026-05-05T22:38:11.688567+00:00,call_of_duty.artillery_marker.equipment_icon,call_of_duty,False,False,exact,0.8,exact normalized or alias match; high-quality candidate; category member source; icon-like image kind,auto-applied recommended candidate,category_member_image,https://static.wikia.nocookie.net/callofduty/images/7/79/Laser_designator_mw2019.png/revision/latest/smart/width/40/height/30?cb=20221003084239,accepted,Artillery Marker,artillery_marker,equipment,False
equipment_icon,binding_f10b6fefdadb,"[""exact normalized or alias match"", ""high-quality candidate"", ""category member source"", ""icon-like image kind""]",0.92,Ascender,candidate_51fac440ffe6,high,0.92,accept_candidate,approved,2026-05-05T22:38:11.689272+00:00,call_of_duty.ascender.equipment_icon,call_of_duty,False,False,exact,0.8,exact normalized or alias match; high-quality candidate; category member source; icon-like image kind,auto-applied recommended candidate,category_member_image,https://static.wikia.nocookie.net/callofduty/images/a/aa/Ascender_MWIII.png/revision/latest/smart/width/40/height/30?cb=20231103033335,accepted,Ascender,ascender,equipment,False
hero_portrait,binding_1d68b8a7eb98,"[""exact normalized or alias match"", ""high-quality candidate"", ""category member source"", ""portrait-like image kind""]",0.92,Beatrice Mercier,candidate_aa19f0e4a711,high,0.92,accept_candidate,approved,2026-05-05T22:38:11.690511+00:00,call_of_duty.beatrice_mercier.hero_portrait,call_of_duty,False,False,exact,0.8,exact normalized or alias match; high-quality candidate; category member source; portrait-like image kind,auto-applied recommended candidate,category_member_image,https://static.wikia.nocookie.net/callofduty/images/a/a8/Beatrice_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223141334,accepted,Beatrice Mercier,beatrice_mercier,hero,False
