asset_family,binding_status,detection_id,fusion_rule_ids,game_id,ontology_collection,required_semantic_fields,requires_asset,runtime_rule,source_page_url,status,target_aliases,target_display_name,target_id,target_kind,template_defaults,template_semantics
equipment_icon,unbound,call_of_duty.armor_plates.equipment_icon,"[""equipment_visibility_atomic"", ""ability_or_equipment_plus_medal_combo""]",call_of_duty,abilities,"[""equipment_id""]",True,"{'signal_type': 'equipment_visibility', 'event_type': 'ability_seen', 'target_field': 'equipment_id', 'target_id_source': 'template_field', 'target_value_field': 'equipment_id'}",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,ready_for_binding,[],Armor Plates,armor_plates,equipment,"{'roi_ref': 'ability_hud', 'match_method': 'TM_CCOEFF_NORMED', 'threshold': 0.92, 'scale_set': [0.9, 1.0, 1.1], 'temporal_window': 3}",{'equipment_id': 'armor_plates'}
equipment_icon,unbound,call_of_duty.armor_satchel.equipment_icon,"[""equipment_visibility_atomic"", ""ability_or_equipment_plus_medal_combo""]",call_of_duty,abilities,"[""equipment_id""]",True,"{'signal_type': 'equipment_visibility', 'event_type': 'ability_seen', 'target_field': 'equipment_id', 'target_id_source': 'template_field', 'target_value_field': 'equipment_id'}",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,ready_for_binding,[],Armor Satchel,armor_satchel,equipment,"{'roi_ref': 'ability_hud', 'match_method': 'TM_CCOEFF_NORMED', 'threshold': 0.92, 'scale_set': [0.9, 1.0, 1.1], 'temporal_window': 3}",{'equipment_id': 'armor_satchel'}
equipment_icon,unbound,call_of_duty.artillery_marker.equipment_icon,"[""equipment_visibility_atomic"", ""ability_or_equipment_plus_medal_combo""]",call_of_duty,abilities,"[""equipment_id""]",True,"{'signal_type': 'equipment_visibility', 'event_type': 'ability_seen', 'target_field': 'equipment_id', 'target_id_source': 'template_field', 'target_value_field': 'equipment_id'}",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,ready_for_binding,[],Artillery Marker,artillery_marker,equipment,"{'roi_ref': 'ability_hud', 'match_method': 'TM_CCOEFF_NORMED', 'threshold': 0.92, 'scale_set': [0.9, 1.0, 1.1], 'temporal_window': 3}",{'equipment_id': 'artillery_marker'}
equipment_icon,unbound,call_of_duty.ascender.equipment_icon,"[""equipment_visibility_atomic"", ""ability_or_equipment_plus_medal_combo""]",call_of_duty,abilities,"[""equipment_id""]",True,"{'signal_type': 'equipment_visibility', 'event_type': 'ability_seen', 'target_field': 'equipment_id', 'target_id_source': 'template_field', 'target_value_field': 'equipment_id'}",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,ready_for_binding,[],Ascender,ascender,equipment,"{'roi_ref': 'ability_hud', 'match_method': 'TM_CCOEFF_NORMED', 'threshold': 0.92, 'scale_set': [0.9, 1.0, 1.1], 'temporal_window': 3}",{'equipment_id': 'ascender'}
equipment_icon,unbound,call_of_duty.body_armor.equipment_icon,"[""equipment_visibility_atomic"", ""ability_or_equipment_plus_medal_combo""]",call_of_duty,abilities,"[""equipment_id""]",True,"{'signal_type': 'equipment_visibility', 'event_type': 'ability_seen', 'target_field': 'equipment_id', 'target_id_source': 'template_field', 'target_value_field': 'equipment_id'}",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,ready_for_binding,"[""gear""]",Body Armor,body_armor,equipment,"{'roi_ref': 'ability_hud', 'match_method': 'TM_CCOEFF_NORMED', 'threshold': 0.92, 'scale_set': [0.9, 1.0, 1.1], 'temporal_window': 3}",{'equipment_id': 'body_armor'}
equipment_icon,unbound,call_of_duty.gas_mask.equipment_icon,"[""equipment_visibility_atomic"", ""ability_or_equipment_plus_medal_combo""]",call_of_duty,abilities,"[""equipment_id""]",True,"{'signal_type': 'equipment_visibility', 'event_type': 'ability_seen', 'target_field': 'equipment_id', 'target_id_source': 'template_field', 'target_value_field': 'equipment_id'}",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,ready_for_binding,[],Gas Mask,gas_mask,equipment,"{'roi_ref': 'ability_hud', 'match_method': 'TM_CCOEFF_NORMED', 'threshold': 0.92, 'scale_set': [0.9, 1.0, 1.1], 'temporal_window': 3}",{'equipment_id': 'gas_mask'}
equipment_icon,unbound,call_of_duty.ghillie_suit.equipment_icon,"[""equipment_visibility_atomic"", ""ability_or_equipment_plus_medal_combo""]",call_of_duty,abilities,"[""equipment_id""]",True,"{'signal_type': 'equipment_visibility', 'event_type': 'ability_seen', 'target_field': 'equipment_id', 'target_id_source': 'template_field', 'target_value_field': 'equipment_id'}",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,ready_for_binding,[],Ghillie Suit,ghillie_suit,equipment,"{'roi_ref': 'ability_hud', 'match_method': 'TM_CCOEFF_NORMED', 'threshold': 0.92, 'scale_set': [0.9, 1.0, 1.1], 'temporal_window': 3}",{'equipment_id': 'ghillie_suit'}
equipment_icon,unbound,call_of_duty.gulag_entry_token.equipment_icon,"[""equipment_visibility_atomic"", ""ability_or_equipment_plus_medal_combo""]",call_of_duty,abilities,"[""equipment_id""]",True,"{'signal_type': 'equipment_visibility', 'event_type': 'ability_seen', 'target_field': 'equipment_id', 'target_id_source': 'template_field', 'target_value_field': 'equipment_id'}",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,ready_for_binding,[],Gulag Entry Token,gulag_entry_token,equipment,"{'roi_ref': 'ability_hud', 'match_method': 'TM_CCOEFF_NORMED', 'threshold': 0.92, 'scale_set': [0.9, 1.0, 1.1], 'temporal_window': 3}",{'equipment_id': 'gulag_entry_token'}
equipment_icon,unbound,call_of_duty.parachute.equipment_icon,"[""equipment_visibility_atomic"", ""ability_or_equipment_plus_medal_combo""]",call_of_duty,abilities,"[""equipment_id""]",True,"{'signal_type': 'equipment_visibility', 'event_type': 'ability_seen', 'target_field': 'equipment_id', 'target_id_source': 'template_field', 'target_value_field': 'equipment_id'}",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,ready_for_binding,[],Parachute,parachute,equipment,"{'roi_ref': 'ability_hud', 'match_method': 'TM_CCOEFF_NORMED', 'threshold': 0.92, 'scale_set': [0.9, 1.0, 1.1], 'temporal_window': 3}",{'equipment_id': 'parachute'}
equipment_icon,unbound,call_of_duty.propane_tank.equipment_icon,"[""equipment_visibility_atomic"", ""ability_or_equipment_plus_medal_combo""]",call_of_duty,abilities,"[""equipment_id""]",True,"{'signal_type': 'equipment_visibility', 'event_type': 'ability_seen', 'target_field': 'equipment_id', 'target_id_source': 'template_field', 'target_value_field': 'equipment_id'}",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,ready_for_binding,[],Propane Tank,propane_tank,equipment,"{'roi_ref': 'ability_hud', 'match_method': 'TM_CCOEFF_NORMED', 'threshold': 0.92, 'scale_set': [0.9, 1.0, 1.1], 'temporal_window': 3}",{'equipment_id': 'propane_tank'}
