asset_id,game_id,entity_id,asset_family,display_name,source_url,source_page_url,source_role,source_title,draft_local_path,template_path,mask_path,roi_ref,match_method,threshold,scale_set,temporal_window,license_note,qa_status
call_of_duty.event_badge_or_medal.battleroyale_icon_vg_wz.0c5898df,call_of_duty,call_of_duty.battleroyale_icon_vg_wz,medal_icon,BattleRoyale Icon VG WZ,https://static.wikia.nocookie.net/callofduty/images/9/9a/BattleRoyale_Icon_VG_WZ.png/revision/latest/scale-to-width-down/100?cb=20250512191616,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
call_of_duty.event_badge_or_medal.plunder_icon_vg_wz.1c760201,call_of_duty,call_of_duty.plunder_icon_vg_wz,medal_icon,Plunder Icon VG WZ,https://static.wikia.nocookie.net/callofduty/images/c/c9/Plunder_Icon_VG_WZ.png/revision/latest/scale-to-width-down/100?cb=20250513103815,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
call_of_duty.event_badge_or_medal.resurgence_logo_wz.7ef200a1,call_of_duty,call_of_duty.resurgence_logo_wz,medal_icon,Resurgence Logo WZ,https://static.wikia.nocookie.net/callofduty/images/1/1d/Resurgence_Logo_WZ.png/revision/latest/scale-to-width-down/100?cb=20210805145756,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
call_of_duty.event_badge_or_medal.pre.15176095,call_of_duty,call_of_duty.pre,medal_icon,Pre,https://static.wikia.nocookie.net/callofduty/images/3/3a/Verdansk_Map_PreRelease_Warzone_MW.jpg/revision/latest/scale-to-width-down/148?cb=20200309173312,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
call_of_duty.event_badge_or_medal.verdansk_at_launch.2e3dd9af,call_of_duty,call_of_duty.verdansk_at_launch,medal_icon,Verdansk at launch.,https://static.wikia.nocookie.net/callofduty/images/3/31/Warzone_Map_MW.jpg/revision/latest/scale-to-width-down/185?cb=20200310195649,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
call_of_duty.event_badge_or_medal.verdansk_during_season_four_of_modern_warfare.5d7dafb5,call_of_duty,call_of_duty.verdansk_during_season_four_of_modern_warfare,medal_icon,Verdansk during Season Four of Modern Warfare.,https://static.wikia.nocookie.net/callofduty/images/9/91/Warzone_Map_Season4_MW.jpg/revision/latest/scale-to-width-down/185?cb=20200701093203,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
call_of_duty.event_badge_or_medal.verdansk_during_season_five_of_modern_warfare.75233131,call_of_duty,call_of_duty.verdansk_during_season_five_of_modern_warfare,medal_icon,Verdansk during Season Five of Modern Warfare.,https://static.wikia.nocookie.net/callofduty/images/0/0c/Warzone_Map_Season5_MW.jpg/revision/latest/scale-to-width-down/185?cb=20200806123800,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
call_of_duty.event_badge_or_medal.verdnask_during_season_six_of_modern_warfare.97828340,call_of_duty,call_of_duty.verdnask_during_season_six_of_modern_warfare,medal_icon,Verdnask during Season Six of Modern Warfare.,https://static.wikia.nocookie.net/callofduty/images/8/8c/Warzone_Map_Season6_MW.jpg/revision/latest/scale-to-width-down/185?cb=20201001093403,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
call_of_duty.event_badge_or_medal.verdansk_during_season_one_of_black_ops_cold_war.dceebd16,call_of_duty,call_of_duty.verdansk_during_season_one_of_black_ops_cold_war,medal_icon,Verdansk during Season One of Black Ops Cold War.,https://static.wikia.nocookie.net/callofduty/images/6/68/Verdansk_Map_Season1BOCW_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20201217172753,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
call_of_duty.event_badge_or_medal.verdansk_during_season_two_of_black_ops_cold_war.e60d7fa3,call_of_duty,call_of_duty.verdansk_during_season_two_of_black_ops_cold_war,medal_icon,Verdansk during Season Two of Black Ops Cold War.,https://static.wikia.nocookie.net/callofduty/images/1/10/Verdansk_Map_Season2BOCW_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20210225092517,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
call_of_duty.event_badge_or_medal.verdansk_84_at_the_start_of_season_three_of_black_ops_cold_war.ee6161df,call_of_duty,call_of_duty.verdansk_84_at_the_start_of_season_three_of_black_ops_cold_war,medal_icon,Verdansk '84 at the start of Season Three of Black Ops Cold War.,https://static.wikia.nocookie.net/callofduty/images/6/61/Verdansk84_Map_Season3BOCW_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20210422200528,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
call_of_duty.event_badge_or_medal.verdansk_84_during_the_80s_action_heroes_event.5be0b0d2,call_of_duty,call_of_duty.verdansk_84_during_the_80s_action_heroes_event,medal_icon,Verdansk '84 during the 80s Action Heroes event.,https://static.wikia.nocookie.net/callofduty/images/7/79/Verdansk84_Map_Season3BOCW_80sActionHeroes_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20210520093735,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,,,,hud.event_badge,TM_CCORR_NORMED,0.93,"[0.9, 1.0, 1.1]",3,internal_review_required,needs_manual_crop
